nome_comum	nome_cientifico	familia	estrato	sucessao	sistema	grupo	pagina
Babaçu	Attalea speciosa	Arecaceae	Alto	Secundária Tardia	Abundância	Palmeira	2
Babosa	Aloe vera	Asphodelaceae	Alto	Placenta 2	Retomada	Medicinal	2
Bacaba	Oenocarpus bacaba	Arecaceae	Alto	Clímax	Abundância	Fruta	2
Bacupari	Garcinia gardneriana	Clusiaceae	Médio	Secundária Média	Abundância	Fruta	2
Bacuri	Platonia insignis	Clusiaceae	Alto	Clímax	Abundância	Fruta	2
Bambu Brasil	Bambusa vulgaris vittata	Poaceae	Alto	Secundária Inicial	Acumulação	Ornamental	2
Bambu Gigante	Dendrocalamus giganteus	Poaceae	Alto	Secundária Tardia	Acumulação	Madeira	2
Bambu Guadua	Guadua angustifolia	Poaceae	Alto	Secundária Tardia	Acumulação	Madeira	2
Banana da Terra	Musa x paradisiaca	Musaceae	Alto	Placenta 2	Abundância	Fruta	2
Banana Flor	Musa ornata	Musaceae	Baixo	Secundária Inicial	Abundância	Ornamental	2
Banana Maçã	Musa x paradisiaca	Musaceae	Médio	Secundária Média	Abundância	Fruta	2
Banana Nanica	Musa acuminata 'Dwarf Cavendish'	Musaceae	Alto	Placenta 2	Abundância	Fruta	2
Banana Ouro	Musa acuminata 'Lady Finger'	Musaceae	Médio	Secundária Média	Abundância	Fruta	2
Banana Prata	Musa x paradisiaca	Musaceae	Médio	Secundária Média	Abundância	Fruta	2
Banana Roxa	Musa acuminata 'Red Dacca'	Musaceae	Médio	Secundária Inicial	Abundância	Fruta	2
Baobá Brasileiro	Cavanillesia umbellata	Malvaceae	Emergente	Clímax	Abundância	Madeira	2
Baru	Dipteryx alata	Fabaceae	Alto	Clímax	Abundância	Fruta	2
Batata Doce	Ipomoea batatas	Convolvulaceae	Médio	Placenta 1	Abundância	Hortaliça	2
Batata Inglesa	Solanum tuberosum	Solanaceae	Médio	Placenta 1	Abundância	Hortaliça	2
Batata Salsa	Cymbopogon citratus	Poaceae	Alto	Placenta 1	Abundância	Hortaliça	2
Batata Yacon	Smallanthus sonchifolius	Asteraceae	Alto	Placenta 2	Abundância	Hortaliça	2
Baunilha	Vanilla planifolia	Orchidaceae	Baixo	Secundária Inicial	Abundância	Tempero	2
Beldroega	Portulaca oleracea	Portulacaceae	Baixo	Placenta 1	Abundância	Panc	2
Berinjela	Solanum melongena	Solanaceae	Alto	Placenta 1	Abundância	Hortaliça	2
Bertalha	Basella alba	Basellaceae	Médio	Placenta 2	Abundância	Panc	2
Beterraba	Beta vulgaris	Amaranthaceae	Médio	Placenta 1	Abundância	Hortaliça	2
Biribá	Rollinia mucosa	Annonaceae	Médio	Secundária Média	Abundância	Fruta	2
Boleira	Joannesia princeps	Euphorbiaceae	Emergente	Secundária Tardia	Acumulação	Matéria Orgânica	2
Bracatinga	Mimosa scabrella	Fabaceae	Emergente	Pioneira	Acumulação	Matéria Orgânica	2
Bracatinga Campo Mourao	Mimosa flocculosa	Fabaceae	Alto	Placenta 2	Retomada	Matéria Orgânica	2
Braúna	Schinopsis brasiliensis	Anacardiaceae	Emergente	Clímax	Abundância	Madeira	2
Brócoli Ramoso	Brassica oleracea var. italica	Brassicaceae	Alto	Placenta 1	Abundância	Hortaliça	2
Bucha	Luffa cylindrica	Cucurbitaceae	Alto	Placenta 2	Abundância	Hortaliça	2
Buganvile	Bougainvillea spp.	Nyctaginaceae	Alto	Pioneira	Acumulação	Ornamental	3
Buriti	Mauritia flexuosa	Arecaceae	Emergente	Clímax	Abundância	Palmeira	3
Butiá	Butia spp.	Arecaceae	Alto	Secundária Média	Acumulação	Palmeira	3
Cabaça	Lagenaria siceraria	Cucurbitaceae	Médio	Placenta 1	Abundância	Artesanato	3
Cabeludinha	Myrciaria glazioviana	Myrtaceae	Baixo	Secundária Média	Abundância	Fruta	3
Cacau	Theobroma cacao	Malvaceae	Médio	Secundária Tardia	Abundância	Fruta	3
Café	Coffea arabica	Rubiaceae	Baixo	Secundária Tardia	Abundância	Fruta	3
Caferana	Bunchosia armeniaca	Malpighiaceae	Médio	Secundária Média	Abundância	Fruta	3
Cagaita	Eugenia dysenterica	Myrtaceae	Médio	Clímax	Abundância	Fruta	3
Caimito	Chrysophyllum cainito	Sapotaceae	Médio	Secundária Tardia	Abundância	Fruta	3
Cajá	Spondias mombin	Anacardiaceae	Alto	Secundária Tardia	Abundância	Fruta	3
Cajá Manga	Spondias dulcis	Anacardiaceae	Emergente	Secundária Média	Abundância	Fruta	3
Cajá Mirim	Spondias microcarpa	Anacardiaceae	Emergente	Secundária Média	Abundância	Madeira	3
Caju	Anacardium occidentale	Anacardiaceae	Emergente	Clímax	Abundância	Fruta	3
Cajuí	Anacardium humile	Anacardiaceae	Emergente	Clímax	Abundância	Fruta	3
Calabura	Muntingia calabura	Muntingiaceae	Alto	Secundária Inicial	Acumulação	Fruta	3
Cambucá	Plinia edulis	Myrtaceae	Médio	Clímax	Abundância	Fruta	3
Cambuci	Campomanesia phaea	Myrtaceae	Médio	Secundária Tardia	Abundância	Fruta	3
Cambuí	Myrciaria floribunda	Myrtaceae	Médio	Secundária Média	Abundância	Fruta	3
Cana	Saccharum officinarum	Poaceae	Alto	Placenta 2	Acumulação	Matéria Orgânica	3
Cana do Brejo	Costus spicatus	Zingiberaceae	Baixo	Secundária Inicial	Abundância	Panc	3
Canabis	Cannabis sativa	Cannabaceae	Emergente	Placenta 1	Abundância	Medicinal	3
Canafistula	Peltophorum dubium	Fabaceae	Emergente	Secundária Média	Acumulação	Matéria Orgânica	3
Candeia	Eremanthus erythropappus	Asteraceae	Alto	Pioneira	Acumulação	Madeira	3
Canela	Cinnamomum verum	Lauraceae	Alto	Clímax	Abundância	Tempero	3
Canela Ferrugem	Nectandra oppositifloia	Lauraceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	3
Canela Guaicá	Ocotea puberula	Lauraceae	Alto	Secundária Média	Abundância	Matéria Orgânica	3
Canela Imbuia	Ocotea porosa	Lauraceae	Emergente	Clímax	Abundância	Madeira	3
Canela Preta	Ocotea catharinensis	Lauraceae	Emergente	Clímax	Abundância	Madeira	3
Canela Sassafrás	Ocotea odorifera	Lauraceae	Médio	Clímax	Abundância	Aromática	3
Canforeira	Cinnamomum camphora	Lauraceae	Alto	Secundária Tardia	Acumulação	Medicinal	3
Capim Braquiária	Brachiaria spp.	Poaceae	Alto	Placenta 2	Retomada	Matéria Orgânica	3
Capim Limão	Cymbopogon citratus	Poaceae	Alto	Placenta 2	Retomada	Medicinal	3
Capim Meloso	Melinis minutiflora	Poaceae	Alto	Placenta 2	Acumulação	Matéria Orgânica	3
Capim Mombaça	Panicum maximum	Poaceae	Médio	Placenta 2	Abundância	Matéria Orgânica	3
Capim Napiê	Pennisetum purpureum	Poaceae	Alto	Placenta 2	Acumulação	Matéria Orgânica	3
Capim Rabo de Burro	Andropogon bicornis	Poaceae	Alto	Placenta 2	Retomada	Matéria Orgânica	3
Capim Sapé	Imperata brasiliensis	Poaceae	Médio	Placenta 2	Retomada	Matéria Orgânica	3
Capororoca	Myrsine ferruginea	Myrsinaceae	Alto	Pioneira	Acumulação	Matéria Orgânica	3
Capuchinha	Tropaeolum majus	Tropaeolaceae	Médio	Placenta 2	Abundância	Panc	3
Caqui	Diospyrus kaki	Ebenaceae	Alto	Secundária Tardia	Abundância	Fruta	4
Cará da Terra	Dioscorea alata	Dioscoreaceae	Alto	Placenta 2	Acumulação	Tubérculo	4
Cará do ar	Dioscorea bulbifera	Dioscoreaceae	Alto	Placenta 2	Acumulação	Panc	4
Carambola	Avehrroa carambola	Oxalidaceae	Alto	Secundária Tardia	Abundância	Fruta	4
Cardamomo	Elettaria cardamomum	Zingiberaceae	Baixo	Secundária Inicial	Abundância	Tempero	4
Cardo Mariano	Silybum marianum	Asteraceae	Alto	Placenta 2	Retomada	Medicinal	4
Carnaúba	Copernicia prunifera	Arecaceae	Alto	Secundária Tardia	Acumulação	Palmeira	4
Carqueija	Baccharis trimera	Asteraceae	Médio	Placenta 2	Retomada	Medicinal	4
Caruru	Amaranthus sp.	Amaranthaceae	Alto	Placenta 1	Acumulação	Panc	4
Carvalho	Quercus sp.	Fagaceae	Emergente	Clímax	Abundância	Madeira	4
Carvoeiro	Sclerolobium paniculatum	Fabaceae	Emergente	Secundária Média	Acumulação	Matéria Orgânica	4
Cassia Imperial	Cassia fistula	Fabaceae	Alto	Secundária Inicial	Acumulação	Matéria Orgânica	4
Castanha do Maranhao	Pachira glabra	Malvaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	4
Castanha do Pará	Bertholletia excelsa	Lecythidaceae	Emergente	Clímax	Abundância	Fruta	4
Castanha portuguesa	Castanea sativa	Fagaceae	Emergente	Clímax	Abundância	Castanha	4
Casuarina	Casuarina equisetifolia	Casuarinaceae	Emergente	Secundária Média	Acumulação	Matéria Orgânica	4
Cavalinha	Equisetum arvense	Equisetaceae	Médio	Placenta 2	Retomada	Medicinal	4
Cebola	Allium cepa	Amaryllidaceae	Médio	Placenta 1	Abundância	Hortaliça	4
Cebolinha	Allium schoenoprasum	Amaryllidaceae	Alto	Placenta 1	Abundância	Hortaliça	4
Cedro Australiano	Toona ciliata	Meliaceae	Emergente	Secundária Tardia	Abundância	Madeira	4
Cedro Rosa	Cedrela fissilis	Meliaceae	Emergente	Secundária Tardia	Abundância	Madeira	4
Cega Machado	Physocalymma scaberrimum	Lythraceae	Alto	Clímax	Abundância	Madeira	4
Cenoura	Daucus carota subsp. sativus	Apiaceae	Médio	Placenta 1	Abundância	Hortaliça	4
Cereja	Prunus avium	Rosaceae	Emergente	Secundária Tardia	Abundância	Fruta	4
Cereja do rio grande	Eugenia involucrata	Myrtaceae	Alto	Secundária Tardia	Abundância	Fruta	4
Chá de bugre	Cordia salicifolia	Boraginaceae	Médio	Secundária Média	Abundância	Medicinal	4
Chacrona	Psychotria viridis	Rubiaceae	Baixo	Secundária Inicial	Abundância	Medicinal	4
Chaia	Chayia sp.	Malvaceae	Médio	Secundária Inicial	Acumulação	Matéria Orgânica	4
Champedaque	Artocarpus integer	Moraceae	Alto	Secundária Tardia	Abundância	Fruta	4
Chia	Salvia hispanica	Lamiaceae	Emergente	Placenta 1	Abundância	Grão	4
Chichá	Anchieta cearensis	Sapotaceae	Alto	Secundária Média	Abundância	Fruta	4
Chopo	Populus sp.	Salicaceae	Emergente	Secundária Média	Abundância	Matéria Orgânica	4
Chorão	Salix babylonica	Salicaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	4
Chuchu	Sechium edule	Cucurbitaceae	Alto	Placenta 2	Abundância	Hortaliça	4
Cidra	Citrus medica	Rutaceae	Médio	Secundária Média	Abundância	Fruta	4
Citronela	Cymbopogon sp.	Poaceae	Alto	Placenta 2	Retomada	Aromática	4
Clitória	Clitoria ternatea	Fabaceae	Alto	Placenta 2	Abundância	Panc	4
Coco	Cocos nucifera	Arecaceae	Emergente	Secundária Tardia	Abundância	Palmeira	4
Coentro	Coriandrum sativum	Apiaceae	Médio	Placenta 1	Abundância	Hortaliça	4
Coité	Crescentia cujete	Bignoniaceae	Médio	Pioneira	Acumulação	Artesanato	4
Cola	Cola acuminata	Malvaceae	Médio	Clímax	Abundância	Fruta	4
Copaíba	Copaifera langsdorffii	Fabaceae	Emergente	Clímax	Abundância	Madeira	4
Corticeira	Erythrina crista-galli	Fabaceae	Emergente	Clímax	Abundância	Casca	5
Cosmo	Cosmos spp.	Asteraceae	Alto	Placenta 1	Retomada	Ornamental	5
Costela de Adão	Monstera deliciosa	Araceae	Alto	Clímax	Acumulação	Ornamental	5
Couve	Brassica oleracea var. acephala	Brassicaceae	Alto	Placenta 1	Abundância	Hortaliça	5
Couve chinesa	Brassica rapa subsp. pekinensis	Brassicaceae	Alto	Placenta 1	Abundância	Hortaliça	5
Couve de Bruxelas	Brassica oleracea var. gemmifera	Brassicaceae	Alto	Placenta 1	Abundância	Hortaliça	5
Couve flor	Brassica oleracea var. botrytis	Brassicaceae	Alto	Placenta 1	Abundância	Hortaliça	5
Cravo	Syzygium aromaticum	Myrtaceae	Médio	Secundária Inicial	Abundância	Tempero	5
Cravo de Defunto	Cosmos caudatus	Asteraceae	Alto	Placenta 1	Retomada	Ornamental	5
Cumaru	Dipteryx odorata	Fabaceae	Emergente	Clímax	Abundância	Madeira	5
Cupuaçu	Theobroma grandiflorum	Malvaceae	Médio	Secundária Tardia	Abundância	Fruta	5
Cúrcuma	Curcuma longa	Zingiberaceae	Baixo	Placenta 2	Abundância	Hortaliça	5
Curriola	Pouteria ramiflora	Sapotaceae	Alto	Secundária Média	Acumulação	Fruta	5
Dália	Dahlia pinnata	Asteraceae	Alto	Placenta 2	Acumulação	Ornamental	5
Damasco	Prunus armeniaca	Rosaceae	Médio	Secundária Média	Abundância	Fruta	5
Dendê	Elaeis guineensis	Arecaceae	Alto	Secundária Tardia	Abundância	Palmeira	5
Dente de leão	Taraxacum officinale	Asteraceae	Baixo	Placenta 1	Abundância	Panc	5
Durian	Durio zibethinus	Malvaceae	Emergente	Clímax	Abundância	Fruta	5
Embaúba	Cecropia spp.	Urticaceae	Emergente	Pioneira	Acumulação	Matéria Orgânica	5
Eritrina	Erythrina spp.	Fabaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	5
Erva Baleeira	Varronia curassavica	Boraginaceae	Alto	Placenta 2	Retomada	Medicinal	5
Erva Cidreira	Lippia alba	Verbenaceae	Médio	Placenta 2	Retomada	Medicinal	5
Erva Doce	Pimpinella anisum	Apiaceae	Médio	Placenta 1	Abundância	Hortaliça	5
Erva mate	Ilex paraguariensis	Aquifoliaceae	Alto	Clímax	Abundância	Hortaliça	5
Ervilha	Pisum sativum	Fabaceae	Alto	Placenta 1	Abundância	Hortaliça	5
Escarola	Cichorium endivia	Asteraceae	Médio	Placenta 1	Abundância	Hortaliça	5
Espinafre	Spinacia oleracea	Amaranthaceae	Médio	Placenta 1	Abundância	Hortaliça	5
Espinheira Santa	Maytenus ilicifolia	Celastraceae	Baixo	Secundária Média	Abundância	Medicinal	5
Eucalipto	Eucalyptus spp.	Myrtaceae	Emergente	Clímax	Abundância	Madeira	5
Falso Cardamomo	Alpinia zerumbet	Zingiberaceae	Baixo	Pioneira	Abundância	Ornamental	5
Farinha Seca	Albizia niopoides	Fabaceae	Emergente	Secundária Tardia	Acumulação	Matéria Orgânica	5
Fava	Vicia faba	Fabaceae	Alto	Placenta 1	Acumulação	Grão	5
Favela	Cnidoscolus quercifolius	Euphorbiaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	5
Fedegoso	Senna macranthera	Fabaceae	Alto	Pioneira	Acumulação	Matéria Orgânica	5
Feijão Bravo do Nordeste	Cynophalla hastata	Fabaceae	Alto	Placenta 2	Acumulação	Matéria Orgânica	5
Feijão Carioca	Phaseolus vulgaris	Fabaceae	Alto	Placenta 1	Abundância	Hortaliça	5
Feijão de Corda	Vigna unguiculata	Fabaceae	Alto	Placenta 1	Abundância	Hortaliça	5
Feijao de Porco	Canavalia ensiformis	Fabaceae	Alto	Placenta 1	Acumulação	Matéria Orgânica	5
Feijão Guandu	Cajanus cajan	Fabaceae	Alto	Placenta 1	Abundância	Hortaliça	5
Feijão Preto	Phaseolus vulgaris	Fabaceae	Alto	Placenta 1	Acumulação	Grão	5
Ficus	Ficus benjamina	Moraceae	Alto	Clímax	Abundância	Matéria Orgânica	6
Figo	Ficus carica	Moraceae	Alto	Secundária Tardia	Abundância	Fruta	6
Figueira Mata Pau	Ficus spp.	Moraceae	Emergente	Clímax	Abundância	Matéria Orgânica	6
Figueira Tailandesa	Ficus sp.	Moraceae	Emergente	Clímax	Abundância	Matéria Orgânica	6
Framboesa	Rubus idaeus	Rosaceae	Alto	Placenta 2	Abundância	Fruta	6
Fresno	Fraxinus spp.	Oleaceae	Emergente	Secundária Tardia	Acumulação	Matéria Orgânica	6
Fruta Pão	Artocarpus altilis	Moraceae	Emergente	Secundária Tardia	Abundância	Fruta	6
Fruto do Sábia	Iochroma arborescens	Solanaceae	Alto	Pioneira	Acumulação	Matéria Orgânica	6
Gengibre	Zingiber officinale	Zingiberaceae	Baixo	Placenta 2	Abundância	Hortaliça	6
Genipapo	Genipa americana	Rubiaceae	Alto	Secundária Tardia	Abundância	Fruta	6
Gergelim	Sesamum indicum	Pedaliaceae	Médio	Placenta 1	Abundância	Hortaliça	6
Girassol	Helianthus annuus	Asteraceae	Emergente	Placenta 1	Abundância	Matéria Orgânica	6
Gliricídia	Gliricidia sepium	Fabaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	6
Goiaba	Psidium guajava	Myrtaceae	Alto	Pioneira	Abundância	Fruta	6
Goiaba Serrana	Acca sellowiana	Myrtaceae	Baixo	Secundária Média	Abundância	Fruta	6
Gonçalo Alves	Astronium fraxinifolium	Anacardiaceae	Emergente	Clímax	Abundância	Madeira	6
Grama Batatais	Paspalum notatum	Poaceae	Alto	Placenta 2	Retomada	Ornamental	6
Grama Esmeralda	Zoysia japonica	Poaceae	Alto	Pioneira	Acumulação	Ornamental	6
Gravatá	Bromelia antiacantha	Bromeliaceae	Baixo	Secundária Inicial	Acumulação	Fruta	6
Graviola	Annona muricata	Annonaceae	Alto	Secundária Média	Abundância	Fruta	6
Grumixama	Myrciaria glazioviana	Myrtaceae	Médio	Secundária Média	Abundância	Fruta	6
Guabiroba	Campomanesia xanthocarpa	Myrtaceae	Médio	Secundária Tardia	Abundância	Fruta	6
Guaco	Mikania glomerata	Asteraceae	Alto	Pioneira	Abundância	Medicinal	6
Guapuruvu	Schizolobium parahyba	Fabaceae	Emergente	Clímax	Abundância	Madeira	6
Guariroba	Syagrus oleracea	Arecaceae	Alto	Secundária Média	Abundância	Palmeira	6
Guatambu	Aspidosperma spp.	Apocynaceae	Alto	Secundária Média	Acumulação	Madeira	6
Helicônia Bico de papagaio	Heliconia psittacorum	Heliconiaceae	Baixo	Secundária Inicial	Abundância	Ornamental	6
Hortênsia	Hydrangea macrophylla	Hydrangeaceae	Baixo	Pioneira	Abundância	Ornamental	6
Imbé	Philodendron imbe	Araceae	Alto	Clímax	Abundância	Ornamental	6
Imbiruçu	Pseudobombax grandiflorum	Malvaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	6
Imburana	Amburana cearensis	Fabaceae	Emergente	Clímax	Abundância	Madeira	6
Inajá	Attalea maripa	Arecaceae	Alto	Secundária Tardia	Abundância	Matéria Orgânica	6
Indaiá	Attalea dubia	Arecaceae	Alto	Clímax	Abundância	Castanha	6
Ingá de Metro	Inga edulis	Fabaceae	Alto	Secundária Inicial	Acumulação	Matéria Orgânica	6
Ingá Feijao	Inga marginata	Fabaceae	Alto	Secundária Inicial	Abundância	Matéria Orgânica	6
Ingá Mirin	Inga laurina	Fabaceae	Alto	Secundária Inicial	Abundância	Matéria Orgânica	6
Inhame	Dioscorea alata	Dioscoreaceae	Médio	Placenta 1	Abundância	Hortaliça	6
Ipê Amarelo	Handroanthus albus	Bignoniaceae	Emergente	Clímax	Abundância	Madeira	6
Ipê Felpudo	Zeyheria tuberculosa	Bignoniaceae	Emergente	Clímax	Abundância	Madeira	6
Ipê Rosa	Handroanthus heptaphyllus	Bignoniaceae	Emergente	Clímax	Abundância	Madeira	6
Ipê Roxo	Handroanthus impetiginosus	Bignoniaceae	Emergente	Secundária Inicial	Abundância	Madeira	6
Jaborandi	Pilocarpus microphyllus	Rutaceae	Baixo	Placenta 2	Abundância	Medicinal	6
Jabuticaba Sabará	Plinia cauliflora	Myrtaceae	Baixo	Clímax	Abundância	Fruta	7
Jaca	Artocarpus heterophyllus	Moraceae	Alto	Clímax	Abundância	Fruta	7
Jacarandá da Bahia	Dalbergia nigra	Fabaceae	Emergente	Clímax	Abundância	Madeira	7
Jacarandá Paulista	Machaerium villosum	Fabaceae	Emergente	Clímax	Abundância	Madeira	7
Jacarandá Roxo	Jacaranda mimosifolia	Bignoniaceae	Emergente	Clímax	Abundância	Madeira	7
Jambo	Syzygium malaccense	Myrtaceae	Alto	Secundária Média	Abundância	Fruta	7
Jambo Branco	Syzygium aqueum	Myrtaceae	Alto	Secundária Média	Abundância	Fruta	7
Jambolão	Syzygium cumini	Myrtaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	7
Jatobá	Hymenaea courbaril	Fabaceae	Emergente	Clímax	Abundância	Madeira	7
Jenipapo	Genipa americana	Rubiaceae	Alto	Secundária Tardia	Abundância	Fruta	7
Jequitibá Rosa	Cariniana legalis	Lecythidaceae	Emergente	Clímax	Abundância	Madeira	7
Jerivá	Syagrus romanzoffiana	Arecaceae	Alto	Secundária Tardia	Abundância	Palmeira	7
Jiló	Solanum gilo	Solanaceae	Alto	Placenta 1	Abundância	Hortaliça	7
Juçara	Euterpe edulis	Arecaceae	Alto	Secundária Média	Abundância	Palmeira	7
Kiri	Paulownia tomentosa	Paulowniaceae	Emergente	Secundária Média	Abundância	Madeira	7
Kiwi	Actinidia deliciosa	Actinidiaceae	Alto	Secundária Inicial	Abundância	Fruta	7
Lab Lab	Lablab purpureus	Fabaceae	Alto	Placenta 1	Acumulação	Matéria Orgânica	7
Landi	Calophyllum brasiliense	Calophyllaceae	Alto	Clímax	Abundância	Madeira	7
Laranja Bahia	Citrus sinensis	Rutaceae	Médio	Secundária Média	Abundância	Fruta	7
Laranja Champagne	Citrus sinensis	Rutaceae	Médio	Secundária Média	Abundância	Fruta	7
Laranja Folha murcha	Citrus sinensis	Rutaceae	Médio	Secundária Média	Abundância	Fruta	7
Laranja Pera	Citrus sinensis	Rutaceae	Médio	Secundária Média	Abundância	Fruta	7
Laranja Sanguinea	Citrus sinensis	Rutaceae	Médio	Secundária Média	Abundância	Fruta	7
lavanda	Lavandula spp.	Lamiaceae	Alto	Placenta 2	Retomada	Medicinal	7
Leucena	Leucaena leucocephala	Fabaceae	Alto	Pioneira	Acumulação	Matéria Orgânica	7
Lichia	Litchi chinensis	Sapindaceae	Alto	Secundária Tardia	Abundância	Fruta	7
Ligustro	Ligustrum lucidum	Oleaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	7
Lima da Pérsia	Citrus limettioides	Rutaceae	Médio	Secundária Média	Abundância	Fruta	7
Limão Cravo	Citrus × limonia	Rutaceae	Médio	Secundária Média	Abundância	Fruta	7
Limão Galego	Citrus aurantifolia	Rutaceae	Médio	Secundária Média	Abundância	Fruta	7
Limão Siciliano	Citrus limon	Rutaceae	Médio	Secundária Média	Abundância	Fruta	7
Linho	Linum usitatissimum	Linaceae	Médio	Placenta 1	Abundância	Hortaliça	7
Lirio do Brejo	Hedychium coronarium	Zingiberaceae	Baixo	Secundária Inicial	Abundância	Medicinal	7
Lixeira	Curatella americana	Dilleniaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	7
Lobeira	Solanum lycocarpum	Solanaceae	Alto	Pioneira	Retomada	Matéria Orgânica	7
Longam	Dimocarpus longan	Sapindaceae	Alto	Secundária Média	Abundância	Fruta	7
